store_name,place,range_money,max_money,star_score_re,posi_nega_score_re,satisfy_score_re,insta_score_re,calm_score_re,service_score_re,picture_url,link_url
博多 松介 西中洲店,天神,"￥6,000～￥7,999",8000,2.6,4.587300252,1.670562771,0.899814471,1.844155844,1.409090909,https://tblg.k-img.com/restaurant/images/Rvw/33071/640x640_rect_33071191.jpg,https://tabelog.com/fukuoka/A4001/A400103/40030704/
焼き鳥ワイン酒場 TORI−BUDOU 渡辺通り店,天神,"￥4,000～￥4,999",5000,2.6,4.204829366,1.859099617,3.013136289,1.91954023,1.41954023,https://tblg.k-img.com/restaurant/images/Rvw/244150/640x640_rect_d2cb36aa98b549b35af590251d6a7f00.jpg,https://tabelog.com/fukuoka/A4001/A400103/40031433/
もち乃き,天神,"￥6,000～￥7,999",8000,2.6,4.484698265,1.83254717,5.026954178,1.849056604,1.443396226,https://tblg.k-img.com/restaurant/images/Rvw/258213/640x640_rect_07f71b00938a32c4a12d12c1a12d306e.jpg,https://tabelog.com/fukuoka/A4001/A400103/40052084/
レミさんち,天神,"￥1,000～￥1,999",2000,2.55,4.644411473,2.283164983,0.714285714,1,1.409090909,https://tblg.k-img.com/restaurant/images/Rvw/251355/640x640_rect_033c5bb122d6a5cd5fbbd93b3e57e30b.jpg,https://tabelog.com/fukuoka/A4001/A400103/40045686/
ろばた焼 磯貝 天神店,天神,"￥4,000～￥4,999",5000,2.55,1.995530105,1.921296296,0.714285714,1.061728395,0.87037037,https://tblg.k-img.com/restaurant/images/Rvw/230211/640x640_rect_d21d2b0d74c6820f8e2a8c759e6f652e.jpg,https://tabelog.com/fukuoka/A4001/A400103/40004236/
酔灯屋 天神店,天神,"￥4,000～￥4,999",5000,2.5,3.885956854,2.093576389,0.863095238,1.15625,1.229166667,https://tblg.k-img.com/restaurant/images/Rvw/267365/640x640_rect_9faa65a323085b4c762d412384dfe835.jpg,https://tabelog.com/fukuoka/A4001/A400103/40000024/
焼とりの八兵衛 ソラリアプラザ店,天神,"￥5,000～￥5,999",6000,2.5,4.292571291,2.019555556,1.666666667,1.8,0.9,https://tblg.k-img.com/restaurant/images/Rvw/267677/640x640_rect_1ae3c0f0334291dd064457b87279ae5f.jpg,https://tabelog.com/fukuoka/A4001/A400103/40036913/
村崎焼鳥研究所,天神,"￥4,000～￥4,999",5000,2.5,3.522425605,2.48234127,0.884353741,1.297619048,1.333333333,https://tblg.k-img.com/restaurant/images/Rvw/266873/640x640_rect_3b641a75f180737e36c408f9ea778be8.jpg,https://tabelog.com/fukuoka/A4001/A400103/40007121/
とんこや 今泉店,天神,"￥5,000～￥5,999",6000,2.5,4.121308073,1.15267094,0.897435897,1.128205128,0.756410256,https://tblg.k-img.com/restaurant/images/Rvw/261002/640x640_rect_bc7d9a05213c7a110056cd65228ff3ea.jpg,https://tabelog.com/fukuoka/A4001/A400103/40024569/
jiubar FUKUOKA,天神,"￥5,000～￥5,999",6000,2.5,4.370789626,1.747916667,5,1.75,1.375,https://tblg.k-img.com/restaurant/images/Rvw/265462/640x640_rect_b2521502b52c1d999ebd375ed5db5ffb.jpg,https://tabelog.com/fukuoka/A4001/A400103/40064393/
焼肉酒場 にくまる 春吉店,天神,"￥6,000～￥7,999",8000,2.5,3.905281161,1.809777778,0.714285714,1.333333333,0.9,https://tblg.k-img.com/restaurant/images/Rvw/241040/640x640_rect_3d216a0f0f9a2706a16e9571823489b9.jpg,https://tabelog.com/fukuoka/A4001/A400103/40056552/
串匠 渡辺通り店,天神,"￥4,000～￥4,999",5000,2.5,4.82237619,2.288444444,0.904761905,1.066666667,1.3,https://tblg.k-img.com/restaurant/images/Rvw/265620/640x640_rect_425e52ab2bbbdb202efcd04b9812d751.jpg,https://tabelog.com/fukuoka/A4001/A400103/40003110/
雲仙,天神,"￥3,000～￥3,999",4000,2.5,4.059030678,2.951598174,0.909980431,1.342465753,1.321917808,https://tblg.k-img.com/restaurant/images/Rvw/250338/640x640_rect_e0a15167ce92767778a6c62fb3566e2e.jpg,https://tabelog.com/fukuoka/A4001/A400103/40006662/
西中州 なか尾,天神,"￥10,000～￥14,999",15000,2.5,3.957851791,2.048412698,0.941043084,1.952380952,0.5,https://tblg.k-img.com/restaurant/images/Rvw/213123/640x640_rect_f33909518f8f16ae544ba2e25316f80c.jpg,https://tabelog.com/fukuoka/A4001/A400103/40002157/
Roddi,天神,"￥6,000～￥7,999",8000,2.5,4.544836579,1.401538462,2.912087912,2.230769231,1.576923077,https://tblg.k-img.com/restaurant/images/Rvw/270015/640x640_rect_f8e26d1fbb781c680c781b491bc3a54e.jpg,https://tabelog.com/fukuoka/A4001/A400103/40063815/
ニュースナック 星 がき,天神,"￥6,000～￥7,999",8000,2.5,3.971245837,1.521581197,0.714285714,2.153846154,2.038461538,https://tblg.k-img.com/restaurant/images/Rvw/267704/640x640_rect_347362b74dc19c0223d82d7a1ddb685a.jpg,https://tabelog.com/fukuoka/A4001/A400103/40057768/
モツビストロ天神ホルモン 福岡パルコ店,天神,"￥2,000～￥2,999",3000,2.5,3.196114504,2.055630631,0.714285714,3.162162162,0.5,https://tblg.k-img.com/restaurant/images/Rvw/256035/640x640_rect_d4b9a9eef03169e9dbc5bc561c8b46f2.jpg,https://tabelog.com/fukuoka/A4001/A400103/40058831/
鉄なべ 中洲本店,天神,"￥1,000～￥1,999",2000,2.45,4.463571725,2.072,0.857142857,1.05,0.8,https://tblg.k-img.com/restaurant/images/Rvw/225079/640x640_rect_6ddfb6b45f8045f80f6b933b6ea55ad9.jpg,https://tabelog.com/fukuoka/A4001/A400103/40000910/
居酒屋 まる家 西中洲,天神,"￥6,000～￥7,999",8000,2.45,3.916467581,1.70462963,0.714285714,1.303030303,0.803030303,https://tblg.k-img.com/restaurant/images/Rvw/179573/640x640_rect_f14a749ce95db12a5fab12dca29c4679.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001483/
o/sio FUKUOKA,天神,"￥6,000～￥7,999",8000,2.45,4.248215776,2.077621723,1.356340289,1.449438202,2.41011236,https://tblg.k-img.com/restaurant/images/Rvw/268118/640x640_rect_041ff16ea2839d6865d0039e7bae9c02.jpg,https://tabelog.com/fukuoka/A4001/A400103/40059974/
ガムランディー 大名本店,天神,"￥3,000～￥3,999",4000,2.4,3.928533734,2.016198502,0.714285714,1.224719101,0.612359551,https://tblg.k-img.com/restaurant/images/Rvw/234221/640x640_rect_53ad487342dc045cbd21894d2e242b33.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001798/
とり天 ルドゥー,天神,"￥5,000～￥5,999",6000,2.4,3.644936854,2.323645833,0.892857143,1.3125,0.625,https://tblg.k-img.com/restaurant/images/Rvw/269126/640x640_rect_42fadfc9d7577e075f42175066e5e220.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001464/
麦衛門,天神,"￥1,000～￥1,999",2000,2.4,3.966481947,2.425387597,0.714285714,1,0.61627907,https://tblg.k-img.com/restaurant/images/Rvw/28919/640x640_rect_28919277.jpg,https://tabelog.com/fukuoka/A4001/A400103/40037172/
どんぶり居酒屋 喜水丸  天神ソラリアステージ店,天神,"￥1,000～￥1,999",2000,2.35,4.609785519,2.150092593,0.714285714,1.055555556,0.722222222,https://tblg.k-img.com/restaurant/images/Rvw/268593/640x640_rect_6652a846673197ce3b54a080f88b8f30.jpg,https://tabelog.com/fukuoka/A4001/A400103/40001953/
カクウチ FUKUTARO,天神,"￥1,000～￥1,999",2000,2.35,4.196550342,2.368313953,3.205980066,1.523255814,1.313953488,https://tblg.k-img.com/restaurant/images/Rvw/269282/640x640_rect_2e507ff44d75ffb0d1640cbfa4dc74d1.jpg,https://tabelog.com/fukuoka/A4001/A400103/40052479/
Mitsubachi,天神,"￥5,000～￥5,999",6000,2.3,4.463041678,1.621267361,2.797619048,2.770833333,1.333333333,https://tblg.k-img.com/restaurant/images/Rvw/83418/640x640_rect_83418621.jpg,https://tabelog.com/fukuoka/A4001/A400103/40006780/
